sample number,高い,安い,高すぎる,安すぎる
1,500,250,500,200
2,358,198,398,88
3,300,200,350,150
4,200,100,200,100
5,400,200,500,100
6,250,150,300,150
7,350,198,400,150
8,400,250,500,150
9,300,298,500,100
10,300,250,390,100
11,450,300,500,250
12,400,250,500,200
13,280,200,300,180
14,150,120,200,100
15,250,150,300,100
16,330,250,350,220
17,250,200,300,200
18,350,250,380,230
19,350,295,400,290
20,400,300,350,200
21,250,150,300,100
22,390,200,500,150
23,350,250,400,200
24,300,200,300,100
25,360,250,350,200
26,350,250,400,200
27,300,250,350,200
28,300,200,300,200
29,300,200,400,150
30,300,200,400,100
31,400,350,550,250
32,350,200,400,150
33,400,198,500,198
34,380,300,400,300
35,500,300,600,200
36,475,350,600,350
